,var_name,lr_importance,rf_importance
216,onehotencoder__Model_Baleno Alpha,225537.7024606219,3.290421262770425e-05
217,onehotencoder__Model_Baleno Alpha 1.2,219708.64825064293,9.260477762401684e-05
218,onehotencoder__Model_Baleno Alpha 1.3,38124.20794115367,6.645137235198423e-06
219,onehotencoder__Model_Baleno Alpha Automatic,5729.339757220427,2.2517061396615275e-05
220,onehotencoder__Model_Baleno Alpha CVT,30606.908764283646,1.3111797747452834e-05
221,onehotencoder__Model_Baleno Alpha Diesel,31191.393502200473,1.9235263040595236e-06
222,onehotencoder__Model_Baleno Delta,99044.45737695825,5.202255630292334e-06
223,onehotencoder__Model_Baleno Delta 1.2,94972.84203699528,5.60876076999814e-05
224,onehotencoder__Model_Baleno Delta 1.3,50706.08874549101,9.384685875170607e-06
225,onehotencoder__Model_Baleno Delta Automatic,210297.94671778707,6.682800558009696e-07
226,onehotencoder__Model_Baleno Delta Diesel,27335.7534027792,2.713975029558408e-07
227,onehotencoder__Model_Baleno LXI,5.820766091346741e-10,0.0
228,onehotencoder__Model_Baleno RS 1.0 Petrol,241277.14771340432,2.0958340943017933e-05
229,onehotencoder__Model_Baleno Sigma,23595.381765577127,1.550777415527596e-06
230,onehotencoder__Model_Baleno Sigma 1.2,24404.738180649278,7.0270836576046065e-06
231,onehotencoder__Model_Baleno Sigma 1.3,78658.16509772919,7.1832523477794435e-06
232,onehotencoder__Model_Baleno Zeta,143829.90785249323,2.4562987670196956e-06
233,onehotencoder__Model_Baleno Zeta 1.2,136880.86753182753,9.634093702906138e-06
234,onehotencoder__Model_Baleno Zeta 1.3,7723.282983883359,5.001192328422646e-06
235,onehotencoder__Model_Baleno Zeta Automatic,121773.27472044069,7.184568088713457e-06
236,onehotencoder__Model_Baleno Zeta Diesel,53824.767145868005,6.846935462957256e-07
237,onehotencoder__Model_Beat Diesel,392461.2873144416,4.4058691210416644e-06
238,onehotencoder__Model_Beat Diesel LS,391415.24355866725,3.84835514802763e-06
239,onehotencoder__Model_Beat Diesel LT,371982.5895143072,2.5790241035492044e-05
240,onehotencoder__Model_Beat Diesel LT Option,392644.85055651376,1.353146218362403e-05
241,onehotencoder__Model_Beat LS,161268.9889057033,7.107901271403159e-06
242,onehotencoder__Model_Beat LT,147126.1607850561,2.1799676004655407e-05
243,onehotencoder__Model_Bolero 2011-2019 Camper,142298.16022297612,8.846723889922816e-07
244,onehotencoder__Model_Bolero 2011-2019 DI - AC BS III,45685.7814391824,5.424843869461569e-06
245,onehotencoder__Model_Bolero 2011-2019 DI 4WD NON AC,115792.79346488774,9.29562363316697e-06
246,onehotencoder__Model_Bolero 2011-2019 DI BSIII,131831.59517785892,5.836454023963353e-06
247,onehotencoder__Model_Bolero 2011-2019 DI NON AC BS III SILVER,52705.059246636796,7.090396802883549e-08
248,onehotencoder__Model_Bolero 2011-2019 DI NON AC BS III White,47363.47141450598,1.5742231708992453e-05
249,onehotencoder__Model_Bolero 2011-2019 EX AC,39701.49794213814,1.7502292848879888e-06
250,onehotencoder__Model_Bolero 2011-2019 EX NON AC,140816.83740058134,1.1659066090718193e-05
251,onehotencoder__Model_Bolero 2011-2019 Plus - AC BSIII,34126.24021342733,8.83467337914832e-06
252,onehotencoder__Model_Bolero 2011-2019 Plus AC,51351.42207933844,5.471064960809467e-06
253,onehotencoder__Model_Bolero 2011-2019 Plus Non AC,59224.08259551857,2.3913857339807417e-06
254,onehotencoder__Model_Bolero 2011-2019 Plus Non AC BSIV PS,83197.44168953446,0.00010651101599174658
255,onehotencoder__Model_Bolero 2011-2019 Plus-AC Plus PS BSIII,38201.740042386606,7.702735140106483e-07
256,onehotencoder__Model_Bolero 2011-2019 SLE,131353.13074022505,0.00026990597446209226
257,onehotencoder__Model_Bolero 2011-2019 SLE BSIII,105919.464885855,7.066801822460996e-06
258,onehotencoder__Model_Bolero 2011-2019 SLX,78040.97711718435,3.524516737300184e-05
259,onehotencoder__Model_Bolero 2011-2019 SLX 2WD BSIII,52624.16379543702,6.029961223869362e-06
260,onehotencoder__Model_Bolero 2011-2019 Special Edition,2.3283064365386963e-09,0.0
261,onehotencoder__Model_Bolero 2011-2019 ZLX,68499.19865944487,1.4000362741114247e-05
262,onehotencoder__Model_Bolero 2011-2019 ZLX BSIII,54560.107738333245,1.4844687193332729e-05
263,onehotencoder__Model_Bolero 2011-2019 mHAWK D70 ZLX,2651.8935388439713,1.5108898689221731e-06
264,onehotencoder__Model_Bolero B2,2.3283064365386963e-10,0.0
265,onehotencoder__Model_Bolero B4,249148.95718709624,4.537766117067511e-06
266,onehotencoder__Model_Bolero DI,109606.00686587511,2.632692187030654e-06
267,onehotencoder__Model_Bolero DI AC BSIII,66460.81116450462,1.0690861827544473e-06
268,onehotencoder__Model_Bolero DI BSIII,126672.30854877728,2.0277058891960006e-06
269,onehotencoder__Model_Bolero DI DX 7 Seater,127625.72187805602,7.322493539408677e-07
270,onehotencoder__Model_Bolero DI DX 8 Seater,73840.60737012018,2.372572025229583e-06
271,onehotencoder__Model_Bolero DI Non AC BSIII,75801.57681556621,6.538269880553412e-08
272,onehotencoder__Model_Bolero LX Non AC BSIII,23246.811766548737,2.4725600290798862e-06
273,onehotencoder__Model_Bolero PLUS AC,58405.22811443382,2.4589657800890694e-06
274,onehotencoder__Model_Bolero PLUS AC BSIII,130823.69238665084,7.954791301595517e-07
275,onehotencoder__Model_Bolero Pik-Up CBC 1.7T,281432.9254530596,1.8134393465979273e-07
276,onehotencoder__Model_Bolero Pik-Up FB 1.7T,4.94765117764473e-10,0.0
277,onehotencoder__Model_Bolero Power Plus LX,52268.33537097863,1.220829384107664e-06
278,onehotencoder__Model_Bolero Power Plus Plus AC BSIV PS,48308.50927100771,3.208685301826329e-07
279,onehotencoder__Model_Bolero Power Plus Plus Non AC BSIV PS,19160.58661311284,1.1253742625373146e-06
280,onehotencoder__Model_Bolero Power Plus SLE,63659.14505457389,0.0004230282432864712
281,onehotencoder__Model_Bolero Power Plus SLX,8366.76111604237,3.9183848340413956e-05
282,onehotencoder__Model_Bolero Power Plus ZLX,5411.088512828908,6.453569490612082e-05
283,onehotencoder__Model_Bolero SLE,81646.2720198759,5.091598800786719e-06
284,onehotencoder__Model_Bolero SLE BSIII,145966.7254643264,2.6260924126668798e-06
285,onehotencoder__Model_Bolero SLX,65393.1456261403,1.1204603888665317e-05
286,onehotencoder__Model_Bolero SLX 2WD,74700.86526858974,5.728296376675743e-06
287,onehotencoder__Model_Bolero SLX 2WD BSIII,102626.49430483878,3.071009401264217e-06
288,onehotencoder__Model_Bolero SLX 4WD BSIII,172952.9834121877,1.3938241833330648e-06
289,onehotencoder__Model_Bolero VLX CRDe,19684.534961355675,2.5724849535348245e-06
290,onehotencoder__Model_Bolero XL 10 Seater Non AC,36144.765215677704,3.181083718702378e-06
291,onehotencoder__Model_Bolero ZLX BSIII,1.7171259969472885e-09,0.0
292,onehotencoder__Model_Bolt Quadrajet XE,84157.71479495704,1.3384312654490569e-05
293,onehotencoder__Model_Bolt Quadrajet XM,1.6298145055770874e-09,0.0
294,onehotencoder__Model_Bolt Revotron XE,37844.08031748976,3.546079690194517e-06
295,onehotencoder__Model_Bolt Revotron XM,1205.2963509258916,8.952458759707969e-07
296,onehotencoder__Model_Brio 1.2 E MT,177160.74046800856,1.4532895205586458e-06
297,onehotencoder__Model_Brio 1.2 S MT,118199.57357914993,8.542829806012939e-06
298,onehotencoder__Model_Brio 1.2 VX MT,94759.46547118732,7.4360247455263665e-06
299,onehotencoder__Model_Brio E MT,1.2514647096395493e-09,0.0
300,onehotencoder__Model_Brio Exclusive Edition,167199.1169148947,4.874338346904105e-07
301,onehotencoder__Model_Brio S MT,137502.6366122392,6.055046217468171e-06
302,onehotencoder__Model_Brio V MT,93196.28496912873,4.3084977540311103e-07
303,onehotencoder__Model_CLA 200 CGI Sport,270689.02484020527,0.0008974206171123878
304,onehotencoder__Model_CLASSIC 1500 DSL AC,54016.07965096721,2.889674243173168e-09
305,onehotencoder__Model_CR-V 2.0L 2WD AT,94015.53633671878,2.8884269721339854e-05
306,onehotencoder__Model_CR-V 2.4 4WD AT,57193.63946720492,2.1813373813822606e-06
307,onehotencoder__Model_CR-V 2.4L 4WD,369280.6795552347,2.9811076861584276e-05
308,onehotencoder__Model_CR-V 2.4L 4WD AT,52648.53683369947,4.412114760136751e-06
309,onehotencoder__Model_CR-V 2.4L 4WD AT AVN,883624.5721895379,0.0007591568113836216
310,onehotencoder__Model_CR-V 2.4L 4WD MT,169804.01895703218,4.781194767239882e-06
311,onehotencoder__Model_Camry 2.5 Hybrid,619093.5244486924,0.0012130528489087695
312,onehotencoder__Model_Camry V4 (MT),316002.260073635,4.442831843242549e-06
